Tekla Structures MATERIAL LIST - Load into a specific Excel file - DO NOT CHANGE THIS LINE!

Project number:     ;
Project name:       ;
Project address:    ;
                    ;
                    ;
Date:               ;17.11.2025

Profile                       ;Material            ; NUM ;Length [mm];Length sum;Weight[kg];Weight sum; Area [m2];  Area sum;
IPE450                        ;S235JR              ;  2  ;       1626;      3253;     126.1;     252.3;      2.61;      5.22;
IPE450                        ;S235JR              ;  2  ;       2402;      4804;     186.3;     372.6;      3.86;      7.71;
IPE450                        ;S235JR              ;  1  ;       4005;      4005;     310.6;     310.6;      6.43;      6.43;
IPE450                        ;S235JR              ;  1  ;       4188;      4188;     324.8;     324.8;      6.72;      6.72;
IPE450                        ;S235JR              ;  1  ;       4349;      4349;     337.3;     337.3;      6.98;      6.98;
IPE450                        ;S235JR              ;  1  ;       4967;      4967;     385.3;     385.3;      7.97;      7.97;
IPE450                        ;S235JR              ;  1  ;       6033;      6033;     467.9;     467.9;      9.68;      9.68;
IPE450                        ;S235JR              ;  1  ;       6246;      6246;     484.5;     484.5;     10.03;     10.03;
IPE450                        ;S235JR              ;  1  ;       6607;      6607;     512.4;     512.4;     10.60;     10.60;
IPE450                        ;S235JR              ;  1  ;       6610;      6610;     512.7;     512.7;     10.61;     10.61;
IPE450                        ;S235JR              ;  1  ;       6760;      6760;     524.3;     524.3;     10.85;     10.85;
IPE450                        ;S235JR              ;  1  ;       7296;      7296;     565.9;     565.9;     11.71;     11.71;
IPE450                        ;S235JR              ;  1  ;       8068;      8068;     625.8;     625.8;     12.95;     12.95;
IPE450                        ;S235JR              ;  2  ;       8079;     16158;     626.6;    1253.2;     12.97;     25.93;
IPE450                        ;S235JR              ;  1  ;       8113;      8113;     629.2;     629.2;     13.02;     13.02;
IPE450                        ;S235JR              ;  1  ;       8115;      8115;     629.4;     629.4;     13.02;     13.02;
IPE450                        ;S235JR              ;  1  ;       8121;      8121;     629.9;     629.9;     13.03;     13.03;
IPE450                        ;S235JR              ;  1  ;       8125;      8125;     630.1;     630.1;     13.04;     13.04;
IPE450                        ;S235JR              ;  1  ;       8140;      8140;     631.3;     631.3;     13.06;     13.06;
IPE450                        ;S235JR              ;  1  ;       8152;      8152;     632.2;     632.2;     13.08;     13.08;
IPE450                        ;S235JR              ;  1  ;       8154;      8154;     632.4;     632.4;     13.09;     13.09;
IPE450                        ;S235JR              ;  5  ;       8170;     40849;     633.6;    3168.2;     13.11;     65.56;
IPE450                        ;S235JR              ;  2  ;       8500;     17000;     659.2;    1318.5;     13.64;     27.29;
IPE450                        ;S235JR              ;  1  ;       8832;      8832;     685.0;     685.0;     14.17;     14.17;
IPE450                        ;S235JR              ;  1  ;       8935;      8935;     692.9;     692.9;     14.34;     14.34;
Sub total, IPE450                                ; ;     ;           ;    224210;          ;   17389.3;          ;    359.86;
PL19*144                      ;S235JR              ; 24  ;        398;      9552;       8.5;     204.1;      0.13;      3.22;
Sub total, PL19*144                              ; ;     ;           ;      9552;          ;     204.1;          ;      3.22;
PL20*270                      ;S235JR              ;  6  ;        395;      2370;      16.7;     100.5;      0.24;      1.44;
Sub total, PL20*270                              ; ;     ;           ;      2370;          ;     100.5;          ;      1.44;
UPN160                        ;S235JR              ;  2  ;      23367;     46734;     440.2;     880.5;     12.85;     25.70;
UPN160                        ;S235JR              ;  2  ;      89653;    179306;    1689.1;    3378.1;     49.31;     98.62;
Sub total, UPN160                                ; ;     ;           ;    226040;          ;    4258.6;          ;    124.32;
[]200*100*4                   ;S235JR              ;  2  ;       2887;      5775;      52.9;     105.9;      1.72;      3.45;
[]200*100*4                   ;S235JR              ;  3  ;       3300;      9901;      60.5;     181.6;      1.97;      5.91;
Sub total, []200*100*4                           ; ;     ;           ;     15675;          ;     287.4;          ;      9.35;
Total:                        ;                    ;     ;           ;          ;          ;   73123.7;          ;   1532.07;
